imdb_id,title,duration,genre,rating,vote_count,gross,year
tt0266408,China Strike Force,103,['Action'],5.3,1684,,2000
tt0211661,Terror Tract,96,"['Comedy, Horror, Romance']",6.1,1650,,2000
tt0218141,Deeply,101,"['Drama, Fantasy, Mystery']",5.9,1642,,2000
tt0212742,After Alice,100,"['Crime, Drama, Mystery']",5.3,1635,,2000
tt0249893,The Price of Milk,87,"['Comedy, Drama, Fantasy']",6.7,1630,111124,2000
tt0192949,Stardom,100,"['Drama, Comedy']",5.6,1615,77527,2000
tt0202641,Two Family House,108,"['Comedy, Drama, Romance']",7.1,1607,1015055,2000
tt0158033,Nora,106,"['Biography, Drama']",6.0,1602,12297,2000
tt0218182,An Everlasting Piece,103,['Comedy'],6.3,1590,75078,2000
tt0200427,Diamond Men,100,['Drama'],7.0,1544,,2000
tt0236034,Born Romantic,96,"['Comedy, Romance']",6.4,1531,14597,2000
tt0218625,The St. Francisville Experiment,79,"['Horror, Mystery, Thriller']",4.1,1499,,2000
tt0168504,A Better Way to Die,101,"['Action, Comedy, Crime']",5.7,1493,,2000
tt0234652,Sanctimony,87,"['Crime, Horror, Thriller']",2.6,1483,,2000
tt0219519,Auggie Rose,109,"['Drama, Mystery, Romance']",6.3,1483,,2000
tt0162711,Trixie,116,"['Comedy, Crime, Mystery']",5.1,1483,285618,2000
tt0172632,Joe Gould's Secret,104,['Drama'],6.4,1482,641117,2000
tt0259442,The Monkey's Mask,93,"['Crime, Mystery, Thriller']",5.0,1472,45826,2000
tt0178050,Sunset Strip,90,"['Comedy, Drama']",5.7,1460,3926,2000
tt0216930,My 5 Wives,100,['Comedy'],4.7,1429,,2000
tt0211941,Beat,93,['Drama'],5.6,1427,,2000
tt0218112,American Women,90,['Comedy'],6.3,1401,221898,2000
tt0208298,The Miracle Maker,90,"['Animation, Biography, Drama']",6.9,1395,,2000
